[ 2024-08-09 13:06:02,987 ] 187 werkzeug - WARNING -  * Debugger is active!
[ 2024-08-09 13:06:03,009 ] 187 werkzeug - INFO -  * Debugger PIN: 144-597-497
[ 2024-08-09 13:07:45,904 ] 44 root - INFO - Entered initiate_data_ingestion method of Data_Integration class
[ 2024-08-09 13:07:45,905 ] 25 root - INFO - Exporting data to mongo db
[ 2024-08-09 13:07:45,906 ] 31 root - INFO - saving exported data into feature store file path: artifacts\08_09_2024_13_06_00\data_ingestion
[ 2024-08-09 13:07:47,254 ] 30 root - ERROR - Error in getting collection names: Error occurred python scipt name [D:\Data_Science\FSDS_Pro\Projects\phishing-classifier\src\configuration\mongo_db_connection.py] line number [23] error message [name must be an instance of str]
[ 2024-08-09 13:07:47,254 ] 60 root - ERROR - Error in exporting collections as dataframe: Error occurred python scipt name [D:\Data_Science\FSDS_Pro\Projects\phishing-classifier\src\data_access\phishing_data.py] line number [26] error message [Error occurred python scipt name [D:\Data_Science\FSDS_Pro\Projects\phishing-classifier\src\configuration\mongo_db_connection.py] line number [23] error message [name must be an instance of str]]
[ 2024-08-09 13:07:47,254 ] 40 root - ERROR - Error in exporting data into raw data directory: Error occurred python scipt name [D:\Data_Science\FSDS_Pro\Projects\phishing-classifier\src\data_access\phishing_data.py] line number [53] error message [Error occurred python scipt name [D:\Data_Science\FSDS_Pro\Projects\phishing-classifier\src\data_access\phishing_data.py] line number [26] error message [Error occurred python scipt name [D:\Data_Science\FSDS_Pro\Projects\phishing-classifier\src\configuration\mongo_db_connection.py] line number [23] error message [name must be an instance of str]]]
[ 2024-08-09 13:07:47,255 ] 54 root - ERROR - Error in initiate_data_ingestion method: Error occurred python scipt name [D:\Data_Science\FSDS_Pro\Projects\phishing-classifier\src\components\data_ingestion.py] line number [33] error message [Error occurred python scipt name [D:\Data_Science\FSDS_Pro\Projects\phishing-classifier\src\data_access\phishing_data.py] line number [53] error message [Error occurred python scipt name [D:\Data_Science\FSDS_Pro\Projects\phishing-classifier\src\data_access\phishing_data.py] line number [26] error message [Error occurred python scipt name [D:\Data_Science\FSDS_Pro\Projects\phishing-classifier\src\configuration\mongo_db_connection.py] line number [23] error message [name must be an instance of str]]]]
[ 2024-08-09 13:07:47,309 ] 187 werkzeug - INFO - 127.0.0.1 - - [09/Aug/2024 13:07:47] "[35m[1mGET /train HTTP/1.1[0m" 500 -
[ 2024-08-09 13:07:47,413 ] 187 werkzeug - INFO - 127.0.0.1 - - [09/Aug/2024 13:07:47] "[36mGET /train?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1[0m" 304 -
[ 2024-08-09 13:07:47,415 ] 187 werkzeug - INFO - 127.0.0.1 - - [09/Aug/2024 13:07:47] "[36mGET /train?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1[0m" 304 -
[ 2024-08-09 13:07:47,808 ] 187 werkzeug - INFO - 127.0.0.1 - - [09/Aug/2024 13:07:47] "[36mGET /train?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
[ 2024-08-09 13:07:48,046 ] 187 werkzeug - INFO - 127.0.0.1 - - [09/Aug/2024 13:07:48] "[36mGET /train?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
[ 2024-08-09 13:07:48,316 ] 187 werkzeug - INFO -  * Detected change in 'd:\\data_science\\fsds_pro\\projects\\phishing-classifier\\src\\configuration\\mongo_db_connection.py', reloading
